ContourID,SegmentID,X,Y
1,1,50.0,100.0
1,1,54.54545454545455,104.54545454545455
1,1,59.09090909090909,109.0909090909091
1,1,63.63636363636364,113.63636363636364
1,1,68.18181818181819,118.18181818181819
1,1,72.72727272727273,122.72727272727273
1,1,77.27272727272728,127.27272727272728
1,1,81.81818181818181,131.8181818181818
1,1,86.36363636363637,136.36363636363637
1,1,90.9090909090909,140.9090909090909
1,1,95.45454545454547,145.45454545454547
1,1,100.0,150.0
1,1,104.54545454545455,145.45454545454547
1,1,109.0909090909091,140.9090909090909
1,1,113.63636363636364,136.36363636363637
1,1,118.18181818181819,131.8181818181818
1,1,122.72727272727273,127.27272727272727
1,1,127.27272727272728,122.72727272727272
1,1,131.8181818181818,118.18181818181819
1,1,136.36363636363637,113.63636363636363
1,1,140.9090909090909,109.0909090909091
1,1,145.45454545454547,104.54545454545453
1,1,150.0,100.0
1,1,140.9090909090909,100.0
1,1,131.8181818181818,100.0
1,1,122.72727272727273,100.0
1,1,113.63636363636363,100.0
1,1,104.54545454545455,100.0
1,1,95.45454545454547,100.0
1,1,86.36363636363637,100.0
1,1,77.27272727272727,100.0
1,1,68.18181818181817,100.0
1,1,59.09090909090909,100.0
1,1,50.0,100.0
